sid,pl9_z_peak_abs,pl9_z_time_to_peak_s,pl9_z_p95_p5,pl9_z_jerk_int,pl9_pre_quiet_std,pl9_post_stable_std,pl9_rise_duration_s,pl9_shank_L_gyr_y_peak,pl9_shank_R_gyr_y_peak,pl9_shank_LR_asym,pl9_sternum_pitch_pkvel
NLS154,13.531177520751953,0.0,7.862107276916504,12313.484375,1.8811695575714111,4.330533981323242,0.09,2.540743112564087,1.2969599962234497,0.324095626208554,107.38525390625142
NLS155,6.598822593688965,0.0,9.348709106445312,8053.94921875,1.2616937160491943,1.6213921308517456,1.09,5.4122161865234375,3.764259099960327,0.179584955609859,136.06414794921875
NLS157,9.546820640563965,0.0,7.031469821929932,19838.626953125,1.7212245464324951,2.4768128395080566,0.02,3.5438289642333984,2.7219951152801514,0.13116131371753048,32.637786865234375
NLS158,6.042879104614258,0.0,4.890142440795898,10810.4443359375,2.1921658515930176,1.33506441116333,0.03,3.4346768856048584,1.6279460191726685,0.35687637486308305,35.620880126953125
NLS159,4.7100701332092285,0.0,7.677979946136475,6592.77783203125,1.9116100072860718,1.4577642679214478,0.23,4.273918151855469,1.0833740234375,0.5955515264933192,55.55267333984375
NLS160,7.4001665115356445,0.0,8.01219367980957,6401.7392578125,1.546495795249939,2.713639259338379,0.2,2.3805079460144043,0.8525030016899109,0.4726258266411583,63.446044921875
NLS161,8.783025741577148,-0.76,7.150068759918213,3555.13232421875,0.4945771098136902,2.3405561447143555,0.08,0.4805409908294678,0.555312991142273,0.07218384968374371,46.76170349121094
NLS162,5.585641860961914,0.0,6.1759724617004395,11464.6953125,1.5854320526123047,1.5227559804916382,0.03,5.219220161437988,2.461318016052246,0.35907663272761803,40.114593505857954
NLS163,12.545236587524414,0.0,5.678957939147949,14833.44140625,3.485387086868286,2.279012441635132,0.01,3.2400100231170654,1.833340048789978,0.27726643679683854,36.193084716796875
NLS164,4.5933837890625,0.0,3.801826238632202,6838.69482421875,2.047152042388916,0.8883389234542847,0.02,1.9096150398254395,2.156843900680542,0.06079707275422965,67.78907775878906
NLS165,6.233524322509766,0.0,6.291293621063232,5375.232421875,0.9263589978218079,1.9735103845596313,0.11,2.204148054122925,1.0387439727783203,0.3593717312526369,65.04364013672017
NLS166,13.500618934631348,0.0,9.193763732910156,9794.5908203125,2.0979294776916504,3.5563580989837646,0.07,3.822817087173462,1.8123530149459839,0.356770723691304,66.62673950195312
NLS167,11.943243026733398,0.0,7.88377571105957,14409.55078125,3.0337042808532715,1.9965425729751587,0.02,1.6602129936218262,1.7861510515213013,0.0365422862203632,87.3077392578125
NLS169,7.740959644317627,-0.26,7.8291826248168945,10710.189453125,3.165182113647461,2.77840518951416,0.06,1.3917839527130127,1.1216069459915161,0.107494977946238,125.47035217285156
NLS170,17.640647888183594,0.0,6.230045318603516,14611.640625,3.4994754791259766,3.126760721206665,0.01,3.7377099990844727,3.773176908493042,0.004722066131860097,87.994384765625
NLS172,6.032715797424316,0.0,9.141195297241211,4692.96484375,1.8827632665634155,1.4399287700653076,0.42,1.4767889976501465,0.8029879927635193,0.29555553554772496,97.42774963378835
NLS173,5.962914943695068,0.0,7.548012733459473,11343.5498046875,1.4578524827957153,1.8010231256484985,0.31,4.084112167358398,2.84538197517395,0.17876196847029763,88.56887817382812
NLS174,4.776130676269531,0.0,3.7692527770996094,7905.12255859375,1.2874882221221924,1.1774072647094727,0.07,2.3303871154785156,2.867155075073242,0.10327340051170304,38.43231201171733
NLS175,7.222667217254639,0.0,7.366962432861328,22135.166015625,2.2896783351898193,2.3324966430664062,0.03,3.426568031311035,4.8230299949646,0.1692763441236018,77.43988037109375
NLS176,4.304105758666992,0.0,6.54116678237915,6752.7421875,0.7591976523399353,1.2425225973129272,0.23,1.5067529678344727,1.7073800563812256,0.06242026220288348,65.19927978515625
NLS177,4.051645755767822,0.0,3.964898109436035,6332.00341796875,1.1251411437988281,1.6261979341506958,0.14,1.3805400133132935,2.0758490562438965,0.20116625407955804,46.765899658204546
NLS179,9.335906028747559,0.0,5.042876243591309,11306.0234375,2.1793429851531982,2.189613103866577,0.03,2.3825340270996094,2.390186071395874,0.0016032875456889405,41.231536865234375
NLS182,6.37290096282959,0.0,5.163181304931641,13759.5185546875,1.9535919427871704,1.7628101110458374,0.03,2.333246946334839,3.355604887008667,0.17971249575689205,33.26873779296875
NLS183,5.611482620239258,0.0,4.072135925292969,7559.4970703125,1.8743925094604492,1.1578713655471802,0.05,2.3776841163635254,1.8059940338134766,0.13664768784333328,46.167755126953125
NLS184,6.40778112411499,0.0,6.3491034507751465,4254.03662109375,0.4959424138069153,1.97417151927948,0.1,0.7840240001678467,1.0282989740371704,0.13478548943020846,82.45925903320312
NLS185,19.309221267700195,0.0,10.47787857055664,18461.07421875,4.363213062286377,4.389363765716553,0.08,2.652285099029541,0.9696120023727417,0.46458322391933726,95.2789306640625
NLS186,11.648682594299316,0.0,7.438523292541504,10265.9482421875,1.3488514423370361,3.645942449569702,0.06,0.9875209927558899,1.663336992263794,0.2549422671394517,62.92266845703125
NLS187,8.19422435760498,0.0,3.8619139194488525,11037.0517578125,0.9676387906074524,1.871376633644104,0.02,1.5219089984893799,2.3984110355377197,0.22357914809542123,37.66326904296875
NLS188,3.835869312286377,0.0,4.655220985412598,6605.8251953125,1.0031092166900635,1.3456907272338867,0.08,1.1442259550094604,2.1997480392456055,0.31564891664845796,77.80609130859375
NLS189,5.895992279052734,-0.69,9.728751182556152,2582.330810546875,0.17242072522640228,3.3940653800964355,0.27,0.3287450075149536,0.35813599824905396,0.04278899503475742,101.59454345703125
NLS190,6.187537670135498,0.0,6.03835391998291,11945.974609375,1.9111052751541138,1.7777763605117798,0.03,3.268515110015869,3.004235029220581,0.04213144678133326,58.142852783203125
NLS191,16.11665916442871,0.0,7.223233222961426,5803.78466796875,2.5621490478515625,2.1869075298309326,0.01,1.778941035270691,0.5819069743156433,0.5070354165363548,125.09536743164062
NLS192,27.91673469543457,0.0,6.242920875549316,12577.1669921875,2.3045711517333984,4.823657989501953,0.01,0.566789984703064,0.6221309900283813,0.04654721377979228,109.66987609863281
NLS195,8.195651054382324,0.0,8.136351585388184,18115.15234375,2.0060999393463135,2.4134745597839355,0.06,4.016624927520752,4.714457988739014,0.07992513505896992,45.810699462890625
NLS196,9.856366157531738,0.0,7.891426086425781,5375.357421875,1.7175471782684326,2.8122992515563965,0.07,0.516057014465332,0.8215640187263489,0.22839561302085534,72.12295532226562
NLS197,20.119802474975586,0.0,9.315163612365723,20809.9296875,7.443211555480957,3.6648340225219727,0.01,1.0762920379638672,1.5978100299835205,0.19502538936166167,115.22254943847585
NLS198,8.021246910095215,0.0,5.945220470428467,10990.046875,1.3418216705322266,2.3534443378448486,0.13,1.2657419443130493,0.9125679731369019,0.16213203007291174,97.33734130859375
NLS201,6.03732967376709,0.0,2.3002102375030518,9094.7744140625,1.4468638896942139,1.1457821130752563,0.01,1.3236180543899536,1.0668139457702637,0.10742995457412016,23.436737060546875
NLS208,6.4176435470581055,-0.8,8.197837829589844,5246.44873046875,0.3756123185157776,2.971951484680176,0.29,1.4826220273971558,1.4289859533309937,0.018421455085891558,86.43226623535156
NLS209,10.913265228271484,0.0,7.484447479248047,15251.1142578125,1.479339361190796,2.9986417293548584,0.02,1.8966610431671143,1.7051349878311157,0.05317513832336008,104.37698364257812
NLS210,11.45180892944336,0.0,8.526324272155762,17396.1875,2.3389759063720703,3.6499619483947754,0.2,3.610445022583008,1.9807729721069336,0.2914699016482446,118.19381713867188
